prefecture,region,stage_venues,stage_priced,stage_gap,stage_reachable,sports_venues,sports_priced,sports_gap,sports_reachable
山梨県,甲信越,20,3,2,yes,5,2,3,yes
香川県,四国,20,3,2,yes,6,2,3,yes
静岡県,東海,21,4,1,yes,5,2,3,yes
山口県,中国,20,5,0,met,6,1,4,yes
熊本県,九州,20,4,1,yes,7,2,3,yes
石川県,北陸,21,4,1,yes,6,2,3,yes
兵庫県,近畿,22,4,1,yes,5,2,3,yes
和歌山県,近畿,17,3,2,yes,5,3,2,yes
鹿児島県,九州,21,3,2,yes,5,3,2,yes
福井県,北陸,17,2,3,yes,6,5,0,met
青森県,東北,18,6,0,met,5,2,3,yes
岩手県,東北,20,5,0,met,6,2,3,yes
茨城県,関東,22,2,3,yes,7,5,0,met
神奈川県,関東,19,5,0,met,6,2,3,yes
長野県,甲信越,23,3,2,yes,5,4,1,yes
鳥取県,中国,21,5,0,met,5,2,3,yes
徳島県,四国,20,2,3,yes,6,5,0,met
栃木県,関東,19,3,2,yes,5,5,0,met
奈良県,近畿,24,3,2,yes,5,5,0,met
岡山県,中国,22,3,2,yes,6,5,0,met
長崎県,九州,23,4,1,yes,5,4,1,yes
千葉県,関東,21,4,1,yes,5,4,1,yes
富山県,北陸,22,3,2,yes,7,5,0,met
京都府,近畿,19,3,2,yes,6,5,0,met
広島県,中国,18,3,2,yes,7,5,0,met
宮崎県,九州,20,6,0,met,5,3,2,yes
宮城県,東北,21,9,0,met,8,4,1,yes
高知県,四国,18,4,1,yes,6,5,0,met
大分県,九州,20,5,0,met,6,4,1,yes
福島県,東北,19,4,1,yes,6,5,0,met
群馬県,関東,23,4,1,yes,5,5,0,met
岐阜県,東海,25,4,1,yes,5,5,0,met
滋賀県,近畿,22,4,1,yes,6,5,0,met
佐賀県,九州,20,4,1,yes,10,5,0,met
北海道,北海道,21,5,0,met,8,7,0,met
埼玉県,関東,23,5,0,met,5,5,0,met
新潟県,甲信越,24,5,0,met,7,6,0,met
島根県,中国,18,5,0,met,7,5,0,met
愛媛県,四国,22,6,0,met,5,5,0,met
福岡県,九州,22,5,0,met,6,5,0,met
沖縄県,沖縄,23,5,0,met,6,5,0,met
秋田県,東北,18,5,0,met,6,5,0,met
山形県,東北,22,5,0,met,6,5,0,met
東京都,関東,20,6,0,met,9,6,0,met
愛知県,東海,22,5,0,met,7,5,0,met
三重県,東海,21,5,0,met,12,7,0,met
大阪府,近畿,22,9,0,met,9,5,0,met
